,Código,Categoría,Serie,Fecha Inicio,Fecha Fin,Última Actualización,Frecuencia
7531,PN03004FQ,"Transferencia neta de la deuda pública externa por fuente financiera (millones US$)
         - (32 series)",Otros Bilaterales - Amortización Pagada,T1-2003,T1-2023,15-06-2023,T
7532,PN03005FQ,"Transferencia neta de la deuda pública externa por fuente financiera (millones US$)
         - (32 series)",Otros Bilaterales - Intereses Pagados,T1-2003,T1-2023,15-06-2023,T
7533,PN03006FQ,"Transferencia neta de la deuda pública externa por fuente financiera (millones US$)
         - (32 series)",Total,T1-2003,T1-2023,15-06-2023,T
7534,PN03007FQ,"Transferencia neta de la deuda pública externa por fuente financiera (millones US$)
         - (32 series)",Total - Desembolsos / Colocaciones,T1-2003,T1-2023,15-06-2023,T
7535,PN03008FQ,"Transferencia neta de la deuda pública externa por fuente financiera (millones US$)
         - (32 series)",Total - Amortización Pagada,T1-2003,T1-2023,15-06-2023,T
7536,PN03009FQ,"Transferencia neta de la deuda pública externa por fuente financiera (millones US$)
         - (32 series)",Total - Intereses Pagados,T1-2003,T1-2023,15-06-2023,T
7537,PN39402FQ,"Cuenta financiera del sector público (millones US$)
         - (25 series)",Activos,T1-2012,T1-2023,18-05-2023,T
7538,PN39403FQ,"Cuenta financiera del sector público (millones US$)
         - (25 series)",Pasivos,T1-2012,T1-2023,18-05-2023,T
7539,PN39404FQ,"Cuenta financiera del sector público (millones US$)
         - (25 series)",Pasivos - Inversión de cartera,T1-2012,T1-2023,18-05-2023,T
7540,PN39405FQ,"Cuenta financiera del sector público (millones US$)
         - (25 series)",Pasivos - Inversión de cartera - Emisiones,T1-2012,T1-2023,18-05-2023,T
7541,PN39406FQ,"Cuenta financiera del sector público (millones US$)
         - (25 series)",Pasivos - Inversión de cartera - Emisiones - Gobierno central,T1-2012,T1-2023,18-05-2023,T
7542,PN39407FQ,"Cuenta financiera del sector público (millones US$)
         - (25 series)",Pasivos - Inversión de cartera - Emisiones - Empresas financieras,T1-2012,T1-2023,18-05-2023,T
7543,PN39408FQ,"Cuenta financiera del sector público (millones US$)
         - (25 series)",Pasivos - Inversión de cartera - Emisiones - Empresas no financieras,T1-2012,T1-2023,18-05-2023,T
7544,PN39409FQ,"Cuenta financiera del sector público (millones US$)
         - (25 series)",Pasivos - Inversión de cartera - Amortizaciones,T1-2012,T1-2023,18-05-2023,T
7545,PN39410FQ,"Cuenta financiera del sector público (millones US$)
         - (25 series)",Pasivos - Inversión de cartera - Amortizaciones - Gobierno central,T1-2012,T1-2023,18-05-2023,T
7546,PN39411FQ,"Cuenta financiera del sector público (millones US$)
         - (25 series)",Pasivos - Inversión de cartera - Amortizaciones - Empresas financieras,T1-2012,T1-2023,18-05-2023,T
7547,PN39412FQ,"Cuenta financiera del sector público (millones US$)
         - (25 series)",Pasivos - Inversión de cartera - Amortizaciones - Empresas no financieras,T1-2012,T1-2023,18-05-2023,T
7548,PN39413FQ,"Cuenta financiera del sector público (millones US$)
         - (25 series)",Pasivos - Inversión de cartera - Otras operaciones,T1-2012,T1-2023,18-05-2023,T
7549,PN39414FQ,"Cuenta financiera del sector público (millones US$)
         - (25 series)",Pasivos - Inversión de cartera - Bonos Soberanos adquiridos por no residentes,T1-2012,T1-2023,18-05-2023,T
7550,PN39415FQ,"Cuenta financiera del sector público (millones US$)
         - (25 series)",Pasivos - Inversión de cartera - Bonos Globales adquiridos por residentes,T1-2012,T1-2023,18-05-2023,T
7551,PN39416FQ,"Cuenta financiera del sector público (millones US$)
         - (25 series)",Pasivos - Préstamos,T1-2012,T1-2023,18-05-2023,T
7552,PN39417FQ,"Cuenta financiera del sector público (millones US$)
         - (25 series)",Pasivos - Préstamos - Desembolsos,T1-2012,T1-2023,18-05-2023,T
7553,PN39418FQ,"Cuenta financiera del sector público (millones US$)
         - (25 series)",Pasivos - Préstamos - Desembolsos - Gobierno central,T1-2012,T1-2023,18-05-2023,T
7554,PN39419FQ,"Cuenta financiera del sector público (millones US$)
         - (25 series)",Pasivos - Préstamos - Desembolsos - Empresas financieras,T1-2012,T1-2023,18-05-2023,T
7555,PN39420FQ,"Cuenta financiera del sector público (millones US$)
         - (25 series)",Pasivos - Préstamos - Desembolsos - Empresas no financieras,T1-2012,T1-2023,18-05-2023,T
7556,PN39421FQ,"Cuenta financiera del sector público (millones US$)
         - (25 series)",Pasivos - Préstamos - Amortizaciones,T1-2012,T1-2023,18-05-2023,T
7557,PN39422FQ,"Cuenta financiera del sector público (millones US$)
         - (25 series)",Pasivos - Préstamos - Amortizaciones - Gobierno central,T1-2012,T1-2023,18-05-2023,T
7558,PN39423FQ,"Cuenta financiera del sector público (millones US$)
         - (25 series)",Pasivos - Préstamos - Amortizaciones - Empresas financieras,T1-2012,T1-2023,18-05-2023,T
7559,PN39424FQ,"Cuenta financiera del sector público (millones US$)
         - (25 series)",Pasivos - Préstamos - Amortizaciones - Empresas no financieras,T1-2012,T1-2023,18-05-2023,T
7560,PN39425FQ,"Cuenta financiera del sector público (millones US$)
         - (25 series)",Pasivos - BCRP: otras operaciones,T1-2012,T1-2023,18-05-2023,T
7561,PN39426FQ,"Cuenta financiera del sector público (millones US$)
         - (25 series)",Total,T1-2012,T1-2023,18-05-2023,T
7562,PN03010FQ,"Créditos concertados por fuente financiera, destino y plazo de vencimiento (millones US$)
         - (14 series)",Fuente de Financiamiento - Organismos Internacionales,T1-2007,T1-2023,15-06-2023,T
7563,PN03011FQ,"Créditos concertados por fuente financiera, destino y plazo de vencimiento (millones US$)
         - (14 series)",Fuente de Financiamiento - Club de París,T1-2007,T1-2023,15-06-2023,T
7564,PN03012FQ,"Créditos concertados por fuente financiera, destino y plazo de vencimiento (millones US$)
         - (14 series)",Fuente de Financiamiento - Bonos,T1-2007,T1-2023,15-06-2023,T
7565,PN03013FQ,"Créditos concertados por fuente financiera, destino y plazo de vencimiento (millones US$)
         - (14 series)",Fuente de Financiamiento - Proveedores sin Seguro,T1-2007,T1-2023,15-06-2023,T
7566,PN03014FQ,"Créditos concertados por fuente financiera, destino y plazo de vencimiento (millones US$)
         - (14 series)",Fuente de Financiamiento - Banca Internacional,T1-2007,T1-2023,15-06-2023,T
7567,PN03015FQ,"Créditos concertados por fuente financiera, destino y plazo de vencimiento (millones US$)
         - (14 series)",Fuente de Financiamiento - América Latina,T1-2007,T1-2023,15-06-2023,T
7568,PN03016FQ,"Créditos concertados por fuente financiera, destino y plazo de vencimiento (millones US$)
         - (14 series)",Fuente de Financiamiento - Otros Bilaterales,T1-2007,T1-2023,15-06-2023,T
7569,PN03017FQ,"Créditos concertados por fuente financiera, destino y plazo de vencimiento (millones US$)
         - (14 series)",Destino - Proyectos de Inversión,T1-2007,T1-2023,15-06-2023,T
7570,PN03018FQ,"Créditos concertados por fuente financiera, destino y plazo de vencimiento (millones US$)
         - (14 series)",Destino - Libre Disponibilidad,T1-2007,T1-2023,15-06-2023,T
7571,PN03019FQ,"Créditos concertados por fuente financiera, destino y plazo de vencimiento (millones US$)
         - (14 series)",Destino - Importación de Alimentos,T1-2007,T1-2023,15-06-2023,T
7572,PN03020FQ,"Créditos concertados por fuente financiera, destino y plazo de vencimiento (millones US$)
         - (14 series)",Destino - Defensa,T1-2007,T1-2023,15-06-2023,T
7573,PN03021FQ,"Créditos concertados por fuente financiera, destino y plazo de vencimiento (millones US$)
         - (14 series)",Plazo Vencimiento - 1-5 años,T1-2007,T1-2023,15-06-2023,T
7574,PN03022FQ,"Créditos concertados por fuente financiera, destino y plazo de vencimiento (millones US$)
         - (14 series)",Plazo Vencimiento - Más de 5 años,T1-2007,T1-2023,15-06-2023,T
7575,PN03023FQ,"Créditos concertados por fuente financiera, destino y plazo de vencimiento (millones US$)
         - (14 series)",Total,T1-2007,T1-2023,15-06-2023,T
7576,PN39293BQ,"Cuenta financiera de capitales de corto plazo (millones US$)
         - (19 series)",Empresas Bancarias,T1-2012,T1-2023,31-05-2023,T
7577,PN39294BQ,"Cuenta financiera de capitales de corto plazo (millones US$)
         - (19 series)",Empresas Bancarias - Activos,T1-2012,T1-2023,31-05-2023,T
7578,PN39295BQ,"Cuenta financiera de capitales de corto plazo (millones US$)
         - (19 series)",Empresas Bancarias - Pasivos,T1-2012,T1-2023,31-05-2023,T
7579,PN39296BQ,"Cuenta financiera de capitales de corto plazo (millones US$)
         - (19 series)",BCRP,T1-2012,T1-2023,31-05-2023,T
7580,PN39297BQ,"Cuenta financiera de capitales de corto plazo (millones US$)
         - (19 series)",Banco de la Nación,T1-2012,T1-2023,31-05-2023,T
7581,PN39298BQ,"Cuenta financiera de capitales de corto plazo (millones US$)
         - (19 series)",Banco de la Nación - Activos,T1-2012,T1-2023,31-05-2023,T
7582,PN39299BQ,"Cuenta financiera de capitales de corto plazo (millones US$)
         - (19 series)",Banco de la Nación - Pasivos,T1-2012,T1-2023,31-05-2023,T
7583,PN39300BQ,"Cuenta financiera de capitales de corto plazo (millones US$)
         - (19 series)",Financieras no Bancarias,T1-2012,T1-2023,31-05-2023,T
7584,PN39301BQ,"Cuenta financiera de capitales de corto plazo (millones US$)
         - (19 series)",Financieras no Bancarias - Activos,T1-2012,T1-2023,31-05-2023,T
7585,PN39302BQ,"Cuenta financiera de capitales de corto plazo (millones US$)
         - (19 series)",Financieras no Bancarias - Pasivos,T1-2012,T1-2023,31-05-2023,T
7586,PN39303BQ,"Cuenta financiera de capitales de corto plazo (millones US$)
         - (19 series)",Sector no Financiero,T1-2012,T1-2023,31-05-2023,T
7587,PN39304BQ,"Cuenta financiera de capitales de corto plazo (millones US$)
         - (19 series)",Sector no Financiero - Activos,T1-2012,T1-2023,31-05-2023,T
7588,PN39305BQ,"Cuenta financiera de capitales de corto plazo (millones US$)
         - (19 series)",Sector no Financiero - Pasivos,T1-2012,T1-2023,31-05-2023,T
7589,PN39306BQ,"Cuenta financiera de capitales de corto plazo (millones US$)
         - (19 series)",Total de Capitales de Corto Plazo,T1-2012,T1-2023,31-05-2023,T
7590,PN39307BQ,"Cuenta financiera de capitales de corto plazo (millones US$)
         - (19 series)",Total de Capitales de Corto Plazo - Activos,T1-2012,T1-2023,31-05-2023,T
7591,PN39308BQ,"Cuenta financiera de capitales de corto plazo (millones US$)
         - (19 series)",Total de Capitales de Corto Plazo - Pasivos,T1-2012,T1-2023,31-05-2023,T
7592,PN38994BQ,"Cuenta financiera de capitales de corto plazo (millones US$)
         - (19 series)",Cuenta Financiera - Capitales de Corto Plazo,T1-2012,T1-2023,31-05-2023,T
7593,PN38995BQ,"Cuenta financiera de capitales de corto plazo (millones US$)
         - (19 series)",Cuenta Financiera - Capitales de Corto Plazo - Activos,T1-2012,T1-2023,31-05-2023,T
7594,PN38996BQ,"Cuenta financiera de capitales de corto plazo (millones US$)
         - (19 series)",Cuenta Financiera - Capitales de Corto Plazo - Pasivos,T1-2012,T1-2023,31-05-2023,T
7595,PN38975BQ,"Balanza de pagos (millones US$)
         - (22 series)",Balanza en Cuenta Corriente,T1-2012,T1-2023,31-05-2023,T
7596,PN38976BQ,"Balanza de pagos (millones US$)
         - (22 series)",Balanza en Cuenta Corriente - Bienes,T1-2012,T1-2023,31-05-2023,T
7597,PN38977BQ,"Balanza de pagos (millones US$)
         - (22 series)",Balanza en Cuenta Corriente - Bienes- Exportaciones FOB,T1-2012,T1-2023,31-05-2023,T
7598,PN38978BQ,"Balanza de pagos (millones US$)
         - (22 series)",Balanza en Cuenta Corriente - Bienes- Importaciones FOB,T1-2012,T1-2023,31-05-2023,T
7599,PN38979BQ,"Balanza de pagos (millones US$)
         - (22 series)",Balanza en Cuenta Corriente - Servicios,T1-2012,T1-2023,31-05-2023,T
7600,PN38980BQ,"Balanza de pagos (millones US$)
         - (22 series)",Balanza en Cuenta Corriente - Servicios - Exportaciones,T1-2012,T1-2023,31-05-2023,T
7601,PN38981BQ,"Balanza de pagos (millones US$)
         - (22 series)",Balanza en Cuenta Corriente - Servicios - Importaciones,T1-2012,T1-2023,31-05-2023,T
7602,PN38982BQ,"Balanza de pagos (millones US$)
         - (22 series)",Balanza en Cuenta Corriente - Ingreso Primario,T1-2012,T1-2023,31-05-2023,T
7603,PN38983BQ,"Balanza de pagos (millones US$)
         - (22 series)",Balanza en Cuenta Corriente - Ingreso Primario - Privado,T1-2012,T1-2023,31-05-2023,T
7604,PN38984BQ,"Balanza de pagos (millones US$)
         - (22 series)",Balanza en Cuenta Corriente - Ingreso Primario - Público,T1-2012,T1-2023,31-05-2023,T
7605,PN38985BQ,"Balanza de pagos (millones US$)
         - (22 series)",Balanza en Cuenta Corriente - Ingreso Secundario,T1-2012,T1-2023,31-05-2023,T
7606,PN38986BQ,"Balanza de pagos (millones US$)
         - (22 series)",Balanza en Cuenta Corriente - Remesas del Exterior,T1-2012,T1-2023,31-05-2023,T
7607,PN38987BQ,"Balanza de pagos (millones US$)
         - (22 series)",Cuenta Financiera,T1-2012,T1-2023,31-05-2023,T
7608,PN38988BQ,"Balanza de pagos (millones US$)
         - (22 series)",Cuenta Financiera - Sector Privado,T1-2012,T1-2023,31-05-2023,T
7609,PN38989BQ,"Balanza de pagos (millones US$)
         - (22 series)",Cuenta Financiera - Sector Privado - Activos,T1-2012,T1-2023,31-05-2023,T
7610,PN38990BQ,"Balanza de pagos (millones US$)
         - (22 series)",Cuenta Financiera - Sector Privado - Pasivos,T1-2012,T1-2023,31-05-2023,T
7611,PN38991BQ,"Balanza de pagos (millones US$)
         - (22 series)",Cuenta Financiera - Sector Público,T1-2012,T1-2023,31-05-2023,T
7612,PN38997BQ,"Balanza de pagos (millones US$)
         - (22 series)",Financiamiento Excepcional,T1-2012,T1-2023,31-05-2023,T
7613,PN38998BQ,"Balanza de pagos (millones US$)
         - (22 series)",Errores y Omisiones Netos,T1-2012,T1-2023,31-05-2023,T
7614,PN38999BQ,"Balanza de pagos (millones US$)
         - (22 series)",Resultado de Balanza de Pagos,T1-2012,T1-2023,31-05-2023,T
7615,PN39000BQ,"Balanza de pagos (millones US$)
         - (22 series)",Resultado de Balanza de Pagos - Variación del Saldo de RIN,T1-2012,T1-2023,31-05-2023,T
7616,PN39001BQ,"Balanza de pagos (millones US$)
         - (22 series)",Resultado de Balanza de Pagos - Efecto Valuación,T1-2012,T1-2023,31-05-2023,T
7617,PN39002BQ,"Balanza de pagos (porcentaje del PBI)
         - (27 series)",Balanza en Cuenta Corriente,T1-2012,T1-2023,31-05-2023,T
7618,PN39003BQ,"Balanza de pagos (porcentaje del PBI)
         - (27 series)",Balanza en Cuenta Corriente - Bienes,T1-2012,T1-2023,31-05-2023,T
7619,PN39004BQ,"Balanza de pagos (porcentaje del PBI)
         - (27 series)",Balanza en Cuenta Corriente - Bienes- Exportaciones FOB,T1-2012,T1-2023,31-05-2023,T
7620,PN39005BQ,"Balanza de pagos (porcentaje del PBI)
         - (27 series)",Balanza en Cuenta Corriente - Bienes- Importaciones FOB,T1-2012,T1-2023,31-05-2023,T
7621,PN39006BQ,"Balanza de pagos (porcentaje del PBI)
         - (27 series)",Balanza en Cuenta Corriente - Servicios,T1-2012,T1-2023,31-05-2023,T
7622,PN39007BQ,"Balanza de pagos (porcentaje del PBI)
         - (27 series)",Balanza en Cuenta Corriente - Servicios - Exportaciones,T1-2012,T1-2023,31-05-2023,T
7623,PN39008BQ,"Balanza de pagos (porcentaje del PBI)
         - (27 series)",Balanza en Cuenta Corriente - Servicios - Importaciones,T1-2012,T1-2023,31-05-2023,T
7624,PN39009BQ,"Balanza de pagos (porcentaje del PBI)
         - (27 series)",Balanza en Cuenta Corriente - Ingreso Primario,T1-2012,T1-2023,31-05-2023,T
7625,PN39010BQ,"Balanza de pagos (porcentaje del PBI)
         - (27 series)",Balanza en Cuenta Corriente - Ingreso Primario - Privado,T1-2012,T1-2023,31-05-2023,T
7626,PN39011BQ,"Balanza de pagos (porcentaje del PBI)
         - (27 series)",Balanza en Cuenta Corriente - Ingreso Primario - Público,T1-2012,T1-2023,31-05-2023,T
7627,PN39012BQ,"Balanza de pagos (porcentaje del PBI)
         - (27 series)",Balanza en Cuenta Corriente - Ingreso Secundario,T1-2012,T1-2023,31-05-2023,T
7628,PN39013BQ,"Balanza de pagos (porcentaje del PBI)
         - (27 series)",Balanza en Cuenta Corriente - Remesas del Exterior,T1-2012,T1-2023,31-05-2023,T
7629,PN39014BQ,"Balanza de pagos (porcentaje del PBI)
         - (27 series)",Cuenta Financiera,T1-2012,T1-2023,31-05-2023,T
7630,PN39015BQ,"Balanza de pagos (porcentaje del PBI)
         - (27 series)",Cuenta Financiera - Sector Privado,T1-2012,T1-2023,31-05-2023,T
7631,PN39016BQ,"Balanza de pagos (porcentaje del PBI)
         - (27 series)",Cuenta Financiera - Sector Privado - Activos,T1-2012,T1-2023,31-05-2023,T
7632,PN39017BQ,"Balanza de pagos (porcentaje del PBI)
         - (27 series)",Cuenta Financiera - Sector Privado - Pasivos,T1-2012,T1-2023,31-05-2023,T
7633,PN39018BQ,"Balanza de pagos (porcentaje del PBI)
         - (27 series)",Cuenta Financiera - Sector Público,T1-2012,T1-2023,31-05-2023,T
7634,PN39019BQ,"Balanza de pagos (porcentaje del PBI)
         - (27 series)",Cuenta Financiera - Sector Público - Activos,T1-2012,T1-2023,31-05-2023,T
7635,PN39020BQ,"Balanza de pagos (porcentaje del PBI)
         - (27 series)",Cuenta Financiera - Sector Público - Pasivos,T1-2012,T1-2023,31-05-2023,T
7636,PN39021BQ,"Balanza de pagos (porcentaje del PBI)
         - (27 series)",Cuenta Financiera - Capitales de Corto Plazo,T1-2012,T1-2023,31-05-2023,T
7637,PN39022BQ,"Balanza de pagos (porcentaje del PBI)
         - (27 series)",Cuenta Financiera - Capitales de Corto Plazo - Activos,T1-2012,T1-2023,31-05-2023,T
7638,PN39023BQ,"Balanza de pagos (porcentaje del PBI)
         - (27 series)",Cuenta Financiera - Capitales de Corto Plazo - Pasivos,T1-2012,T1-2023,31-05-2023,T
7639,PN39024BQ,"Balanza de pagos (porcentaje del PBI)
         - (27 series)",Financiamiento Excepcional,T1-2012,T1-2023,31-05-2023,T
7640,PN39025BQ,"Balanza de pagos (porcentaje del PBI)
         - (27 series)",Errores y Omisiones Netos,T1-2012,T1-2023,31-05-2023,T
7641,PN39026BQ,"Balanza de pagos (porcentaje del PBI)
         - (27 series)",Resultado de Balanza de Pagos,T1-2012,T1-2023,31-05-2023,T
7642,PN39027BQ,"Balanza de pagos (porcentaje del PBI)
         - (27 series)",Resultado de Balanza de Pagos - Variación del Saldo de RIN,T1-2012,T1-2023,31-05-2023,T
7643,PN39028BQ,"Balanza de pagos (porcentaje del PBI)
         - (27 series)",Resultado de Balanza de Pagos - Efecto Valuación,T1-2012,T1-2023,31-05-2023,T
7644,PN39258BQ,"Ingreso primario (millones US$)
         - (18 series)",Ingresos,T1-2012,T1-2023,31-05-2023,T
7645,PN39259BQ,"Ingreso primario (millones US$)
         - (18 series)",Ingresos Sector privado,T1-2012,T1-2023,31-05-2023,T
7646,PN39260BQ,"Ingreso primario (millones US$)
         - (18 series)",Ingresos Sector público,T1-2012,T1-2023,31-05-2023,T
7647,PN39261BQ,"Ingreso primario (millones US$)
         - (18 series)",Egresos,T1-2012,T1-2023,31-05-2023,T
7648,PN39262BQ,"Ingreso primario (millones US$)
         - (18 series)",Egresos Sector privado,T1-2012,T1-2023,31-05-2023,T
7649,PN39263BQ,"Ingreso primario (millones US$)
         - (18 series)",Egresos Sector privado - Utilidades,T1-2012,T1-2023,31-05-2023,T
7650,PN39264BQ,"Ingreso primario (millones US$)
         - (18 series)",Egresos Sector privado - Intereses,T1-2012,T1-2023,31-05-2023,T
7651,PN39265BQ,"Ingreso primario (millones US$)
         - (18 series)",Egresos Sector privado - Intereses por Bonos,T1-2012,T1-2023,31-05-2023,T
7652,PN39266BQ,"Ingreso primario (millones US$)
         - (18 series)",Egresos Sector privado - Intereses por Préstamos,T1-2012,T1-2023,31-05-2023,T
7653,PN39267BQ,"Ingreso primario (millones US$)
         - (18 series)",Egresos Sector privado - Intereses por Préstamos Largo Plazo,T1-2012,T1-2023,31-05-2023,T
7654,PN39268BQ,"Ingreso primario (millones US$)
         - (18 series)",Egresos Sector privado - Intereses por Préstamos Corto Plazo,T1-2012,T1-2023,31-05-2023,T
7655,PN39269BQ,"Ingreso primario (millones US$)
         - (18 series)",Egresos Sector público,T1-2012,T1-2023,31-05-2023,T
7656,PN39270BQ,"Ingreso primario (millones US$)
         - (18 series)",Egresos Sector público - Intereses por Préstamos,T1-2012,T1-2023,31-05-2023,T
7657,PN39271BQ,"Ingreso primario (millones US$)
         - (18 series)",Egresos Sector público - Intereses por Bonos,T1-2012,T1-2023,31-05-2023,T
7658,PN39272BQ,"Ingreso primario (millones US$)
         - (18 series)",Egresos Sector público - Otros,T1-2012,T1-2023,31-05-2023,T
7659,PN39273BQ,"Ingreso primario (millones US$)
         - (18 series)",Total Ingreso Primario,T1-2012,T1-2023,31-05-2023,T
7660,PN39274BQ,"Ingreso primario (millones US$)
         - (18 series)",Total Ingreso Primario - Privados,T1-2012,T1-2023,31-05-2023,T
7661,PN39275BQ,"Ingreso primario (millones US$)
         - (18 series)",Total Ingreso Primario - Públicos,T1-2012,T1-2023,31-05-2023,T
7662,PN39309BQ,"Posición de activos y pasivos externos (millones US$)
         - (21 series)",Activos,T1-2012,T1-2023,31-05-2023,T
7663,PN39310BQ,"Posición de activos y pasivos externos (millones US$)
         - (21 series)",Activos - Activos de Reserva del BCRP,T1-2012,T1-2023,31-05-2023,T
7664,PN39311BQ,"Posición de activos y pasivos externos (millones US$)
         - (21 series)",Activos - Activos del Sistema Financiero (sin BCRP),T1-2012,T1-2023,31-05-2023,T
7665,PN39312BQ,"Posición de activos y pasivos externos (millones US$)
         - (21 series)",Activos - Otros Activos,T1-2012,T1-2023,31-05-2023,T
7666,PN39313BQ,"Posición de activos y pasivos externos (millones US$)
         - (21 series)",Pasivos,T1-2012,T1-2023,31-05-2023,T
7667,PN39314BQ,"Posición de activos y pasivos externos (millones US$)
         - (21 series)",Pasivos - Inversión Directa,T1-2012,T1-2023,31-05-2023,T
7668,PN39315BQ,"Posición de activos y pasivos externos (millones US$)
         - (21 series)",Pasivos - Participación de Capital (cartera),T1-2012,T1-2023,31-05-2023,T
7669,PN39316BQ,"Posición de activos y pasivos externos (millones US$)
         - (21 series)","Pasivos - Deuda por préstamos, bonos y otros",T1-2012,T1-2023,31-05-2023,T
7670,PN39317BQ,"Posición de activos y pasivos externos (millones US$)
         - (21 series)","Pasivos - Deuda por préstamos, bonos y otros - Mediano y largo plazo",T1-2012,T1-2023,31-05-2023,T
7671,PN39318BQ,"Posición de activos y pasivos externos (millones US$)
         - (21 series)","Deuda préstamos, bonos y otros - Mediano y largo plazo - Sector privado",T1-2012,T1-2023,31-05-2023,T
7672,PN39319BQ,"Posición de activos y pasivos externos (millones US$)
         - (21 series)","Deuda préstamos, bonos y otros - Mediano y largo plazo - Sector público",T1-2012,T1-2023,31-05-2023,T
7673,PN39320BQ,"Posición de activos y pasivos externos (millones US$)
         - (21 series)","Deuda préstamos, bonos y otros - Mediano y largo plazo - Sector público - Deuda Pública Externa",T1-2012,T1-2023,31-05-2023,T
7674,PN39321BQ,"Posición de activos y pasivos externos (millones US$)
         - (21 series)","Deuda préstamos, bonos y otros - Títulos del Mercado Secundario Doméstico Adquiridos por No Residentes",T1-2012,T1-2023,31-05-2023,T
7675,PN39322BQ,"Posición de activos y pasivos externos (millones US$)
         - (21 series)","Deuda préstamos, bonos y otros - Títulos del Mercado Secundario Externo Adquiridos por Residentes",T1-2012,T1-2023,31-05-2023,T
7676,PN39323BQ,"Posición de activos y pasivos externos (millones US$)
         - (21 series)","Pasivos - Deuda por préstamos, bonos y otros - Corto plazo",T1-2012,T1-2023,31-05-2023,T
7677,PN39324BQ,"Posición de activos y pasivos externos (millones US$)
         - (21 series)","Pasivos - Deuda por préstamos, bonos y otros - Corto plazo - Sistema financiero",T1-2012,T1-2023,31-05-2023,T
7678,PN39325BQ,"Posición de activos y pasivos externos (millones US$)
         - (21 series)","Pasivos - Deuda por préstamos, bonos y otros - Corto plazo - Otros",T1-2012,T1-2023,31-05-2023,T
7679,PN39326BQ,"Posición de activos y pasivos externos (millones US$)
         - (21 series)",Pasivos - Banco Central de Reserva,T1-2012,T1-2023,31-05-2023,T
7680,PN39327BQ,"Posición de activos y pasivos externos (millones US$)
         - (21 series)",Pasivos - Banco Central de Reserva - Corto plazo,T1-2012,T1-2023,31-05-2023,T
7681,PN39328BQ,"Posición de activos y pasivos externos (millones US$)
         - (21 series)",Pasivos - Banco Central de Reserva - Largo plazo,T1-2012,T1-2023,31-05-2023,T
7682,PN39329BQ,"Posición de activos y pasivos externos (millones US$)
         - (21 series)",Total,T1-2012,T1-2023,31-05-2023,T
7683,PN39330BQ,"Posición de activos y pasivos externos (porcentaje del PBI)
         - (22 series)",Activos,T1-2012,T1-2023,31-05-2023,T
7684,PN39331BQ,"Posición de activos y pasivos externos (porcentaje del PBI)
         - (22 series)",Activos - Activos de Reserva del BCRP,T1-2012,T1-2023,31-05-2023,T
7685,PN39332BQ,"Posición de activos y pasivos externos (porcentaje del PBI)
         - (22 series)",Activos - Activos del Sistema Financiero (sin BCRP),T1-2012,T1-2023,31-05-2023,T
7686,PN39333BQ,"Posición de activos y pasivos externos (porcentaje del PBI)
         - (22 series)",Activos - Otros Activos,T1-2012,T1-2023,31-05-2023,T
7687,PN39334BQ,"Posición de activos y pasivos externos (porcentaje del PBI)
         - (22 series)",Pasivos,T1-2012,T1-2023,31-05-2023,T
7688,PN39335BQ,"Posición de activos y pasivos externos (porcentaje del PBI)
         - (22 series)",Pasivos - Inversión Directa,T1-2012,T1-2023,31-05-2023,T
7689,PN39336BQ,"Posición de activos y pasivos externos (porcentaje del PBI)
         - (22 series)",Pasivos - Participación de Capital (cartera),T1-2012,T1-2023,31-05-2023,T
7690,PN39337BQ,"Posición de activos y pasivos externos (porcentaje del PBI)
         - (22 series)","Pasivos - Deuda por préstamos, bonos y otros",T1-2012,T1-2023,31-05-2023,T
7691,PN39338BQ,"Posición de activos y pasivos externos (porcentaje del PBI)
         - (22 series)","Pasivos - Deuda por préstamos, bonos y otros - Mediano y largo plazo",T1-2012,T1-2023,31-05-2023,T
7692,PN39339BQ,"Posición de activos y pasivos externos (porcentaje del PBI)
         - (22 series)","Deuda préstamos, bonos y otros - Mediano y largo plazo - Sector privado",T1-2012,T1-2023,31-05-2023,T
7693,PN39340BQ,"Posición de activos y pasivos externos (porcentaje del PBI)
         - (22 series)","Deuda préstamos, bonos y otros - Mediano y largo plazo - Sector público",T1-2012,T1-2023,31-05-2023,T
7694,PN39341BQ,"Posición de activos y pasivos externos (porcentaje del PBI)
         - (22 series)","Deuda préstamos, bonos y otros - Mediano y largo plazo - Sector público - Deuda Pública Externa",T1-2012,T1-2023,31-05-2023,T
7695,PN39342BQ,"Posición de activos y pasivos externos (porcentaje del PBI)
         - (22 series)","Deuda préstamos, bonos y otros - Títulos del Mercado Secundario Doméstico Adquiridos por No Residentes",T1-2012,T1-2023,31-05-2023,T
7696,PN39343BQ,"Posición de activos y pasivos externos (porcentaje del PBI)
         - (22 series)","Deuda préstamos, bonos y otros - Títulos del Mercado Secundario Externo Adquiridos por Residentes",T1-2012,T1-2023,31-05-2023,T
7697,PN39344BQ,"Posición de activos y pasivos externos (porcentaje del PBI)
         - (22 series)","Pasivos - Deuda por préstamos, bonos y otros - Corto plazo",T1-2012,T1-2023,31-05-2023,T
7698,PN39345BQ,"Posición de activos y pasivos externos (porcentaje del PBI)
         - (22 series)","Pasivos - Deuda por préstamos, bonos y otros - Corto plazo - Sistema financiero",T1-2012,T1-2023,31-05-2023,T
