,Código,Categoría,Serie,Fecha Inicio,Fecha Fin,Última Actualización,Frecuencia
96,PD04713XD,"Tasas de interés: EMBIG (variación en pbs)	
         - (13 series)",Spread - EMBIG México (pbs),02-01-1998,19-07-2023,21-07-2023,D
97,PD04714XD,"Tasas de interés: EMBIG (variación en pbs)	
         - (13 series)",Spread - EMBIG Venezuela (pbs),02-01-1998,19-07-2023,21-07-2023,D
98,PD04715XD,"Tasas de interés: EMBIG (variación en pbs)	
         - (13 series)",Spread - EMBIG Colombia (pbs),02-01-1998,19-07-2023,21-07-2023,D
99,PD38581XD,"Tasas de interés: EMBIG (variación en pbs)	
         - (13 series)",Spread - EMBIG Chile (pbs),28-05-1999,19-07-2023,21-07-2023,D
100,PD38580XD,"Tasas de interés: EMBIG (variación en pbs)	
         - (13 series)",Spread - EMBIG Economías emergentes (pbs),02-01-1998,19-07-2023,21-07-2023,D
101,PD04707XD,"Tasas de interés: EMBIG (variación en pbs)	
         - (13 series)",Spread - EMBIG en puntos básicos (pbs) (descontinuada),10-12-1998,30-12-2016,21-07-2023,D
102,PD04716XD,"Tasas de interés: EMBIG (variación en pbs)	
         - (13 series)",Spread - Perú - PDI (pbs) (descontinuada),31-12-2001,07-03-2007,21-07-2023,D
103,PD04717XD,"Tasas de interés: EMBIG (variación en pbs)	
         - (13 series)",Spread - Perú - FLIRB (pbs) (descontinuada),31-12-2001,16-02-2007,21-07-2023,D
104,PD04721XD,"Bolsas (índices)	
         - (1 series)",Dow Jones (var%),02-01-1997,20-07-2023,21-07-2023,D
105,PD38073DD,"Operaciones en el sistema LBTR	
         - (8 series)",Valor de operaciones de clientes de entidades del sistema financiero en MN (Mill. S/),02-01-2019,20-07-2023,21-07-2023,D
106,PD38074DD,"Operaciones en el sistema LBTR	
         - (8 series)",Valor de operaciones propias de entidades del sistema financiero en MN (Mill. S/),02-01-2019,20-07-2023,21-07-2023,D
107,PD38075DD,"Operaciones en el sistema LBTR	
         - (8 series)",Valor de operaciones de clientes de entidades del sistema financiero en ME (Mill. US$),02-01-2019,20-07-2023,21-07-2023,D
108,PD38076DD,"Operaciones en el sistema LBTR	
         - (8 series)",Valor de operaciones propias de entidades del sistema financiero en ME (Mill. US$),02-01-2019,20-07-2023,21-07-2023,D
109,PD38077DD,"Operaciones en el sistema LBTR	
         - (8 series)",Número de operaciones de clientes de entidades del sistema financiero en MN (unidades),02-01-2019,20-07-2023,21-07-2023,D
110,PD38078DD,"Operaciones en el sistema LBTR	
         - (8 series)",Número de operaciones propias de entidades del sistema financiero en MN (unidades),02-01-2019,20-07-2023,21-07-2023,D
111,PD38079DD,"Operaciones en el sistema LBTR	
         - (8 series)",Número de operaciones de clientes de entidades del sistema financiero en ME (unidades),02-01-2019,20-07-2023,21-07-2023,D
112,PD38080DD,"Operaciones en el sistema LBTR	
         - (8 series)",Número de operaciones propias de entidades del sistema financiero en ME (unidades),02-01-2019,20-07-2023,21-07-2023,D
113,PD38032DD,"Tasas de interés compensatorio	
         - (4 series)",Tasa máxima de interés convencional compensatorio para operaciones entre personas ajenas al sistema financiero - MN,01-10-2007,21-07-2023,21-07-2023,D
114,PD38033DD,"Tasas de interés compensatorio	
         - (4 series)",Tasa máxima de interés convencional compensatorio para operaciones entre personas ajenas al sistema financiero - ME,01-10-2007,21-07-2023,21-07-2023,D
115,PD38590DD,"Tasas de interés compensatorio	
         - (4 series)","Tasa máxima de interés convencional compensatorio para operaciones de créditos de consumo, créditos de consumo de bajo monto y créditos para pequeñas y microempresas otorgadas por empresas del sistema financiero - MN",10-05-2021,21-07-2023,21-07-2023,D
